id,max
133.0,5339.0
134.0,846.0
135.0,1053.0
136.0,875.0
137.0,1035.0
138.0,1056.0
139.0,1761.0
140.0,2754.0
141.0,953.0
142.0,980.0
143.0,496.0
144.0,923.0
145.0,1908.0
146.0,1739.0
147.0,3323.0
148.0,9007.0
149.0,43518.0
150.0,533.0
151.0,4722.0
152.0,26.0
153.0,642.0
154.0,3685.0
155.0,19724.0
156.0,37060.0
157.0,2486.0
158.0,3131.0
159.0,762.0
160.0,3114.0
161.0,1818.0
162.0,7013.0
163.0,7218.0
164.0,2366.0
165.0,5462.0
166.0,1398.0
167.0,19857.0
168.0,1399.0
169.0,4385.0
170.0,1701.0
171.0,4990.0
172.0,1502.0
173.0,23970.0
174.0,2988.0
175.0,625.0
176.0,8465.0
177.0,4843.0
178.0,4634.0
179.0,12651.0
180.0,8415.0
181.0,3666.0
182.0,1870.0
183.0,10603.0
184.0,5423.0
185.0,4088.0
186.0,2242.0
187.0,7598.0
188.0,53233.0
189.0,8083.0
190.0,37400.0
191.0,56704.0
192.0,28797.0
193.0,7623.0
194.0,32420.0
195.0,8941.0
196.0,13538.0
197.0,21890.0
198.0,16455.0
199.0,36177.0
200.0,5886.0
201.0,29510.0
202.0,4973.0
203.0,5760.0
204.0,2890.0
205.0,3259.0
206.0,1217.0
207.0,6168.0
208.0,3369.0
209.0,2842.0
210.0,4037.0
211.0,1175.0
212.0,1803.0
213.0,1305.0
214.0,25468.0
215.0,3802.0
216.0,7716.0
217.0,14171.0
218.0,909.0
219.0,14550.0
220.0,9273.0
221.0,3878.0
222.0,6143.0
223.0,5972.0
224.0,1939.0
225.0,5048.0
226.0,8805.0
227.0,3008.0
228.0,9646.0
229.0,2540.0
230.0,2176.0
231.0,2074.0
232.0,848.0
233.0,9062.0
234.0,10643.0
235.0,4999.0
236.0,3116.0
237.0,4897.0
238.0,5736.0
239.0,18971.0
240.0,2144.0
241.0,13954.0
242.0,2489.0
243.0,12271.0
244.0,18234.0
245.0,2872.0
246.0,9904.0
247.0,5204.0
248.0,4037.0
249.0,13451.0
250.0,12006.0
251.0,4541.0
252.0,11326.0
253.0,3899.0
254.0,17498.0
255.0,48917.0
256.0,7580.0
257.0,52707.0
258.0,15960.0
259.0,6159.0
260.0,7300.0
261.0,45019.0
262.0,6564.0
263.0,4403.0
264.0,6151.0
265.0,3539.0
266.0,15415.0
267.0,15006.0
268.0,7006.0
269.0,21221.0
270.0,17528.0
271.0,1702.0
272.0,4332.0
273.0,16424.0
274.0,6042.0
275.0,16237.0
276.0,7639.0
277.0,9867.0
278.0,15304.0
279.0,3767.0
280.0,3938.0
281.0,16648.0
282.0,26700.0
283.0,2746.0
284.0,16662.0
285.0,19380.0
286.0,5908.0
287.0,31874.0
288.0,11300.0
289.0,30757.0
290.0,10782.0
291.0,5811.0
292.0,10164.0
293.0,22406.0
294.0,14426.0
295.0,18142.0
296.0,2294.0
297.0,10670.0
298.0,18165.0
299.0,14937.0
300.0,21698.0
301.0,30512.0
302.0,20997.0
303.0,9370.0
304.0,8627.0
305.0,4023.0
306.0,6103.0
307.0,1948.0
308.0,83556.0
309.0,13776.0
310.0,12399.0
311.0,52638.0
312.0,52318.0
313.0,39574.0
314.0,42758.0
315.0,2161.0
316.0,10879.0
317.0,2715.0
318.0,5468.0
319.0,24666.0
320.0,77699.0
321.0,19078.0
322.0,2315.0
323.0,24378.0
324.0,12612.0
325.0,5734.0
326.0,2207.0
327.0,8394.0
328.0,7401.0
329.0,8206.0
330.0,2046.0
331.0,4429.0
332.0,1343.0
333.0,5204.0
334.0,4680.0
335.0,1442.0
336.0,8722.0
337.0,8645.0
338.0,669.0
339.0,14565.0
